,Ti_responses
102,"Answer the following question given the text:
Text:  Another witness who had attended the concert at the rear of the crowd testified that Blythe 's behavior was standard to metal concerts , saying that metal bands always put on angry and tough acts and the concert at issue was no exception . She said that it was evident that Blythe did not want any fans on the stage . Neither the two nor any other witness who took the stand that day gave a testimony as to the moment of   's fall at the end of the concert . 

Question: How many books are shown?

Respond only with the final answer, without explanation or full sentences.

0"
103,"Answer the following question given the text:
Text:  In spite of the successes of the destroyer runs , Kawaguchi insisted that as many soldiers of his brigade as possible be delivered to Guadalcanal by slow barges . Therefore , a convoy carrying 1 @,@ 100 of Kawaguchi 's troops and heavy equipment in 61 barges , mainly from the 2nd Battalion , 124th Infantry Regiment under the command of Colonel   Oka , departed the northern coast of Santa Isabel Island on 2 September . On 4 – 5 September , aircraft from Henderson Field attacked the barge convoy , killing about 90 of the soldiers in the barges and destroying much of the unit 's heavy equipment . Most of the remaining 1 @,@ 000 troops were able to land near Kamimbo ( 9 ° 15 ′ 32 ″ S 159 ° 40 ′ 18 ″ E ) , west of the Lunga perimeter over the next few days . By 7 September , Kawaguchi had 5 @,@ 200 troops at Taivu Point and 1 @,@ 000 west of the Lunga perimeter . Kawaguchi was confident enough that he could defeat the Allied forces facing him that he declined an offer from the 17th Army for delivery of one more infantry battalion to augment his forces . Kawaguchi believed that there were only about 2 @,@ 000 U.S. Marines on Guadalcanal . 

Question: Is there  cup of tea?

Respond only with the final answer, without explanation or full sentences.

No"
104,Wooden
105,Radcliffe
106,"Answer the following question given the text:
Text:  The three reconnoiter Bobby 's house , and Kurt steals Bobby 's phone . They next go to   's house , where Kurt and Nick go inside while Dale waits in the car .   returns home and confronts Dale for littering , but then has an allergy attack from the peanut butter on the litter . Dale saves   by stabbing him with an EpiPen . Nick and Kurt think Dale is stabbing   to death and flee , with Kurt accidentally dropping Bobby 's phone in   's bedroom . The next night , Kurt watches Julia 's home , but she seduces and has sex with him . Nick and Dale reluctantly wait outside Bobby 's and   's houses , respectively , to commit the murders , despite neither of them wanting to .   discovers Bobby 's cellphone in his bedroom and uses it to find his address , suspecting his wife Rhonda ( Julie Bowen ) is having an affair . He drives over and kills Bobby , with Nick as a secret witness . 

Question: What are the numbers on the front of the train?

Respond only with the final answer, without explanation or full sentences.

0"
107,"Answer the following question given the text:
Text:  Waldman felt that "" TNA put on a strong PPV "" that was in "" large part to little   . "" Regarding the main event , Waldman gave it a 6 out of 10 , while the World Tag Team Championship match received a 4 out of 10 . He gave the Six Woman Tag Team match a 4 @.@ 5 out of 10 and the A.J. Styles versus Kurt Angle bout a 9 out of 10 . The X Division Championship contest was given a 7 out of 10 . 

Question: Name the type of flower that is in the vase?

Respond only with the final answer, without explanation or full sentences.

No flower in the vase"
108,No pants
109,No
110,No
111,"Answer the following question given the text:
Text:  The Aberdeen trawler Ben Doran   , foundered on the Ve Skerries 3 miles northwest of Papa Stour , on the evening of 28 March 1930 while on her way to the village of Scalloway to land her catch . When she grounded weather conditions were fairly good but it was not until the following day that a passing trawler saw , and reported the wreck . By the time that various rescue attempts were launched by the coastguard and local volunteers ( there being no lifeboat in Shetland at that time ) , weather conditions had deteriorated to the point where it was impossible to approach the skerries . A request had been made for the Stromness lifeboat from Orkney , only 120 miles away , to launch , but the request was made too late to be of help . All 9 crew perished in the wreck . Only 3 bodies were recovered , that of James Mitchell , which was returned to Aberdeen , and the bodies of J. Cormack and J.R.   , which were buried in Scalloway . 

Question: How many laptops is the man using?

Respond only with the final answer, without explanation or full sentences.

0"
